doc_idx,chunk_idx,Entity,Type,Description
0,42,LANE,PERSON,Lane is a researcher who extended their own work in 1998 with Salk
0,42,LUBATKIN,PERSON,Lubatkin is a researcher who worked with Lane in 1998
0,42,SALK,PERSON,Salk is a researcher who worked with Lane to extend their own work in 1998
0,43,LYLES,PERSON,Author of a study on knowledge acquisition in international joint ventures
0,44,ZAHRA,PERSON,Zahra is a researcher who co-authored a study in 2002
0,44,GEORGE,PERSON,George is a researcher who co-authored a study in 2002
0,45,MNC,ORGANIZATION,Multinational Corporation that utilizes knowledge from external relations and subsidiaries
0,46,ORGANIZATION,ORGANIZATION,The organization is the entity that receives and utilizes external knowledge
0,46,PERSON,PERSON,The person is the individual who is part of the organization and is involved in the knowledge absorption process
0,46,GEO,GEO,"The geographic location is not explicitly mentioned in the text, but it could refer to the location of the organization or the person"
0,47,MINBAEVA,PERSON,Minbaeva is a researcher who studied absorptive capacity in subsidiaries
0,47,IBM,ORGANIZATION,IBM is a company that benefits from internal knowledge flows
0,47,MICROSOFT,ORGANIZATION,Microsoft is a company that benefits from internal knowledge flows
0,47,NEW YORK,GEO,New York is a city where companies like IBM and Microsoft operate
0,47,LONDON,GEO,London is a city where companies like IBM and Microsoft operate
0,48,SUBSIDIARY,ORGANIZATION,A subsidiary is a company that is owned or controlled by another company
0,48,MARCH,PERSON,March is a researcher who has written about knowledge domains
0,48,LEVINTHAL,PERSON,Levinthal is a researcher who has written about knowledge domains
0,49,GENERAL ELECTRIC,ORGANIZATION,General Electric is a multinational conglomerate
0,49,SCHENECTADY,GEO,Schenectady is a city in New York
0,49,NEW YORK,GEO,New York is a state in the United States
0,49,JOHN SMITH,PERSON,John Smith is the CEO of the company and is married to Jane Doe
0,49,JANE DOE,PERSON,Jane Doe is the wife of John Smith
0,50,MICHAELIVA,PERSON,Michailova is a researcher who studied knowledge-hostility between subsidiaries
0,50,HUSTED,PERSON,Husted is a researcher who studied knowledge-hostility between subsidiaries
0,51,COHEN,PERSON,Cohen is a researcher who studied absorptive capacity in 1990
0,51,LEVINTHAL,PERSON,Levinthal is a researcher who studied absorptive capacity in 1990
0,51,ZAHRA,PERSON,Zahra is a researcher who studied absorptive capacity in 2002
0,51,GEORGE,PERSON,George is a researcher who studied absorptive capacity in 2002
0,52,"UNIVERSITY OF CALIFORNIA, BERKELEY",ORGANIZATION,"A public research university located in Berkeley, California, known for its academic excellence and research opportunities"
0,52,BERKELEY,GEO,"A city in California where the University of California, Berkeley is located"
0,52,CALIFORNIA,GEO,"A state in the United States where the University of California, Berkeley is located"
0,52,COLLEGE OF ENGINEERING,ORGANIZATION,"One of the colleges at the University of California, Berkeley"
0,52,COLLEGE OF NATURAL RESOURCES,ORGANIZATION,"One of the colleges at the University of California, Berkeley"
0,52,GRADUATE SCHOOL OF JOURNALISM,ORGANIZATION,"One of the schools at the University of California, Berkeley"
0,52,APPLE,ORGANIZATION,"A company that emerged from the University of California, Berkeley"
0,52,GOOGLE,ORGANIZATION,"A company that emerged from the University of California, Berkeley"
0,55,HEIDELBERGER CEMENT,ORGANIZATION,Heidelberger Cement is a multinational corporation that employs knowledge management tools to facilitate knowledge sharing among its subsidiaries
0,55,MNC,ORGANIZATION,"MNC refers to a multinational corporation, in this case Heidelberger Cement"
0,56,ARGOTE,PERSON,Author of research on knowledge management
0,56,KROGH,PERSON,Author of research on knowledge management
0,57,MNC,ORGANIZATION,MNC is a company with multiple units where employees can search for knowledge and partners
0,57,MAHNKE,PERSON,Mahnke is a researcher who has written about knowledge management in MNCs
0,57,VENZIN,PERSON,Venzin is a researcher who has written about knowledge management in MNCs
0,57,KAUTZ,PERSON,Kautz is a researcher who has written about knowledge management in MNCs
0,58,PEDERSEN,PERSON,Pedersen is a researcher who studied knowledge search and access
0,59,HEIDELBERGER CEMENT,ORGANIZATION,Heidelberger Cement is a company that deployed an intranet solution to decrease transaction costs of knowledge inflows
0,60,PARIS,GEO,Paris is a city known for its beautiful architecture and rich history
0,60,EIFFEL TOWER,GEO,The Eiffel Tower is a famous landmark located in Paris
0,60,LOUVRE,ORGANIZATION,The Louvre is a famous museum located in Paris
0,60,ORSAY,ORGANIZATION,The Orsay is a famous museum located in Paris
0,61,CORPORATE UNIVERSITY,ORGANIZATION,The corporate university is an organization that enables knowledge sharing through benchmarking reports and learning systems
0,61,LEONARD-BARTON,PERSON,Leonard-Barton is a researcher who has studied knowledge sharing in communities and teams
0,62,HEIDELBERGER CEMENT,ORGANIZATION,Heidelberger Cement is a company that uses communities of practice for knowledge integration and creation
0,62,WENGER,PERSON,Wenger is a researcher who studied knowledge integration and creation in Heidelberger Cement
0,62,SNYDER,PERSON,Snyder is a researcher who studied knowledge integration and creation in Heidelberger Cement
0,63,GRANT,PERSON,Grant is a researcher who wrote about interdisciplinary teams in 1996
0,63,MNC,ORGANIZATION,MNC is a type of organization that has interdisciplinary teams
0,64,KOGUT,PERSON,Kogut is a researcher who studied interactive learning and community communication codes
0,64,ZANDER,PERSON,Zander is a researcher who studied interactive learning and community communication codes
0,64,MONTEVERDE,PERSON,Monteverde is a researcher who studied interactive learning and community communication codes
0,66,OSTERLOH,PERSON,Osterloh is a researcher who studied knowledge sharing across subsidiaries
0,66,FREY,PERSON,Frey is a researcher who studied knowledge sharing across subsidiaries
0,67,COMMUNITY,ORGANIZATION,A group of people working together to share knowledge and enhance involvement and motivations
0,68,BROWN,PERSON,Brown is a researcher who wrote about knowledge development in teams
0,68,DUGUID,PERSON,Duguid is a researcher who wrote about knowledge development in teams
0,68,BOLAND,PERSON,Boland is a researcher who wrote about knowledge development in teams
0,68,TENKASI,PERSON,Tenkasi is a researcher who wrote about knowledge development in teams
0,69,SCHUMPETER,PERSON,Schumpeter is an author who wrote about knowledge creation in 1934
0,69,GALUNIC,PERSON,Galunic is an author who wrote about knowledge creation in 1998
0,69,RODAN,PERSON,Rodan is an author who wrote about knowledge creation in 1998
0,70,COMMUNITIES OF PRACTICE,ORGANIZATION,Communities of practice are groups that influence a subsidiary’s absorptive capacity through increasing the motivation and ability of subsidiary’s employee’s to share knowledge in social interaction
0,71,SUBSIDIARY,ORGANIZATION,A subsidiary is a company that is owned or controlled by another company
0,72,OSTERLOH,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,FREY,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,KROGH,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,WENGER,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,SNYDER,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,BARTLETT,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,GHOSHAL,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,72,OUCHE,PERSON,Author who wrote about motivation for exchanging knowledge between subsidiaries
0,73,OUCHI,PERSON,Ouchi is a researcher who wrote about explicit rewards in 1982
0,74,SUBSIDIARY,ORGANIZATION,A subsidiary is an organization that is owned or controlled by a parent company
0,75,SIMONIN,PERSON,Simonin is a researcher who wrote about knowledge-sharing processes in 1999
0,76,OSTERLOH,PERSON,Osterloh is a researcher who studied the effects of explicit rewards on intrinsic motivation
0,76,FREY,PERSON,Frey is a researcher who studied the effects of explicit rewards on intrinsic motivation
0,77,HANSEN,PERSON,Hansen is a researcher who studied knowledge sharing behavior in 1999
0,77,HOLMSTRÖM,PERSON,Holmström is a researcher who studied motivation to engage in complementary activities in 1991
0,77,MILGROM,PERSON,Milgrom is a researcher who studied motivation to engage in complementary activities in 1991
0,79,OUCHI,PERSON,Ouchi is a researcher who studied horizontal knowledge flows between subsidiaries
0,79,OSTERLOH,PERSON,Osterloh is a researcher who studied horizontal knowledge flows between subsidiaries
0,79,FREY,PERSON,Frey is a researcher who studied horizontal knowledge flows between subsidiaries
0,80,SPENCE,PERSON,Spence is a researcher who wrote about signalling in 1972
0,81,EMPLOYEES,PERSON,Employees are individuals who participate in knowledge sharing
0,82,NEW YORK,GEO,City where the company is based and expanding its operations
0,82,JOHN SMITH,PERSON,CEO of the company leading the expansion efforts
0,82,XYZ INC,ORGANIZATION,Larger corporation that owns the company
0,83,FREY,PERSON,Frey is a researcher who studied the effects of rewards on motivation
0,83,FOSS,PERSON,Foss is a researcher who studied the effects of rewards on motivation
0,83,MAHNKE,PERSON,Mahnke is a researcher who studied the effects of rewards on motivation
0,83,LAURSEN,PERSON,Laursen is a researcher who studied the effects of rewards on motivation
0,84,MAHNKE,PERSON,Mahnke is a researcher who studied knowledge sharing
0,84,VENZIN,PERSON,Venzin is a researcher who studied knowledge sharing
0,85,LEARNING SYSTEM,ORGANIZATION,A knowledge management tool that influences absorptive capacity
0,85,COMMUNITIES OF PRACTICE,ORGANIZATION,A knowledge management tool that influences absorptive capacity
0,85,CORPORATE UNIVERSITY,ORGANIZATION,A knowledge management tool that influences absorptive capacity
0,85,BENCHMARKING,ORGANIZATION,A knowledge management tool that influences absorptive capacity
0,85,REWARD-SYSTEMS,ORGANIZATION,A knowledge management tool that influences absorptive capacity
0,86,NELSON,PERSON,Nelson is a researcher who wrote about knowledge acquisition and assimilation in 1982
0,86,WINTER,PERSON,Winter is a researcher who wrote about knowledge acquisition and assimilation in 1982
0,86,HEDLUND,PERSON,Hedlund is a researcher who wrote about knowledge acquisition and assimilation in 1994
0,86,SZULANSKI,PERSON,Szulanski is a researcher who wrote about knowledge acquisition and assimilation in 2003
0,87,NEW YORK,GEO,A city that is home to many famous landmarks and diverse neighborhoods
0,87,STATUE OF LIBERTY,GEO,A famous landmark located in New York
0,87,CENTRAL PARK,GEO,A famous landmark located in New York
0,87,MANHATTAN,GEO,A neighborhood in New York
0,87,BROOKLYN,GEO,A neighborhood in New York
0,87,THE NEW YORK TIMES,ORGANIZATION,"A major newspaper published in New York, known for its in-depth reporting and editorial content"
0,87,ERIC ADAMS,PERSON,"The mayor of New York, who is a strong supporter of The New York Times"
0,88,SUBSIDIARY,ORGANIZATION,A subsidiary is a company that is owned or controlled by another company
0,89,HEDLUND,PERSON,Hedlund is a researcher who wrote about knowledge adaptation in 1994
0,91,NELSON,PERSON,Nelson is a researcher who studied knowledge sharing
0,91,WINTER,PERSON,Winter is a researcher who studied knowledge sharing
0,91,SZULANSKI,PERSON,Szulanski is a researcher who studied knowledge sharing
0,92,NELSON & WINTER,ORGANIZATION,Nelson & Winter is a research organization that has published papers on intra-firm replication of processes and innovations
0,92,NELSON,PERSON,Nelson is a researcher who has published papers on intra-firm replication of processes and innovations
0,92,WINTER,PERSON,Winter is a researcher who has published papers on intra-firm replication of processes and innovations
0,93,NONAKA,PERSON,Nonaka is a researcher who wrote about knowledge inflow
0,93,TAKEUCHI,PERSON,Takeuchi is a researcher who wrote about knowledge inflow
0,94,KIM,PERSON,Kim is a researcher who wrote about knowledge inflows in 1993
0,96,FOSS,PERSON,Author who wrote about knowledge sharing and adaptation costs
0,96,MAHNKE,PERSON,Author who wrote about knowledge sharing and adaptation costs
0,96,GAMMELGAARD,PERSON,Author who wrote about opportunity costs in terms of expenditures and cognitive capacity
0,96,PEDERSEN,PERSON,Author who wrote about opportunity costs in terms of expenditures and cognitive capacity
0,99,H3,ORGANIZATION,H3 is a research hypothesis
0,100,HEIDELBERGCENT,ORGANIZATION,HeidelbergCement is a German cement company
0,100,GERMANY,GEO,Country where the research was conducted
0,101,HEIDELBERGCEMENT,ORGANIZATION,"HeidelbergCement is one of the four largest cement manufacturers in the world with 1,500 subsidiaries in over 50 countries and 36,000 employees"
0,101,WORLD,GEO,Global region where HeidelbergCement operates
0,102,COMPANY,ORGANIZATION,The company is undergoing consolidation after rapid expansion
0,103,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement is a company that has grown significantly through acquisitions in less than 10 years
0,104,APPLE,ORGANIZATION,Technology company founded by Steve Jobs and Steve Wozniak
0,104,STEVE JOBS,PERSON,Co-founder of Apple
0,104,STEVE WOZNIAK,PERSON,Co-founder of Apple
0,104,CUPERTINO,GEO,City where Apple is headquartered
0,104,CALIFORNIA,GEO,State where Apple is headquartered
0,105,9,ORGANIZATION,9 is not a valid entity
0,106,NO ENTITIES FOUND,NO ENTITIES FOUND,No entities of the specified types were found in the text
0,107,TSI,PERSON,Tsai is a researcher who studied intra-firm networks
0,107,GHOSHAL,PERSON,Ghoshal is a researcher who studied intra-firm networks
0,108,COMPANY,ORGANIZATION,The company is the main subject of the survey
0,109,LANE,PERSON,Lane is a researcher who co-authored a study with Lubatkin in 1998
0,109,LUBATKIN,PERSON,Lubatkin is a researcher who co-authored a study with Lane in 1998
0,109,GUPTA,PERSON,Gupta is a researcher who co-authored a study with Govindarajan in 2000
0,109,GOVINDARAJAN,PERSON,Govindarajan is a researcher who co-authored a study with Gupta in 2000
0,110,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement is a company with 6 business units that was involved in a study
0,111,NEW YORK,GEO,City where the company is based
0,111,JOHN SMITH,PERSON,CEO of the company
0,111,BROOKLYN,GEO,Location of a startup the company is working with
0,112,SUBSIDIARY MANAGERS,ORGANIZATION,Managers of subsidiary companies
0,114,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement is a company with MNC units across different geographical business areas
0,115,MNC,ORGANIZATION,The MNC is a company with a headquarter that fosters international knowledge management initiatives
0,116,SECOND GROUP,ORGANIZATION,A group of 100 managers that have not been interviewed and did not participate in knowledge management workshops
0,117,SUBSIDIARIES,ORGANIZATION,Subsidiaries are part of a larger organization and have engineers involved in international day-to-day knowledge transfer
0,118,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement is a company that has knowledge management initiatives and a CEO who supports surveys
0,118,CEO,PERSON,The CEO of HeidelbergCement supports surveys
0,119,NEW YORK,GEO,City where the company is based and expanding its operations
0,119,JOHN SMITH,PERSON,CEO of the company leading the expansion efforts
0,119,LONDON,GEO,City where the parent corporation of the company is based
0,120,HEADQUARTER,ORGANIZATION,The headquarter's office managed the mailing process
0,123,10,ORGANIZATION,10 is not a valid entity
0,124,QUESTIONNAIRE,ORGANIZATION,The questionnaire is a tool used to collect data
0,125,NEW YORK,GEO,New York is the location of the company
0,125,GOOGLE,ORGANIZATION,Google is a company based in New York
0,125,LARRY PAGE,PERSON,Larry Page is a founder of Google
0,125,SERGEY BRIN,PERSON,Sergey Brin is a founder of Google
0,127,AMAZON,ORGANIZATION,"Technology company with headquarters in Seattle, Washington and founded by Jeff Bezos"
0,127,JEFF BEZOS,PERSON,Founder of Amazon
0,127,SEATTLE,GEO,City in Washington where Amazon is headquartered
0,127,WASHINGTON,GEO,State in the US where Seattle is located
0,128,ANDERSSON,PERSON,Andersson is a researcher who has written about performance measures
0,129,GERINGER,PERSON,Geringer is a researcher who has studied the correlation between perceptual and objective accounting-based measures
0,129,HEBERT,PERSON,Hebert is a researcher who has studied the correlation between perceptual and objective accounting-based measures
0,130,BUSINESS,ORGANIZATION,Business is an organization that captures many dimensions of performance including economic gains and product development
0,131,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement is a company that has applied knowledge management initiatives to improve business results
0,135,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement is a company that has units that share knowledge with each other
0,140,RESPONDENTS,PERSON,People who were asked to assess statements about knowledge sharing
0,143,NEW YORK,GEO,City where the company is based and expanding its operations
0,143,JOHN SMITH,PERSON,CEO of the company leading the expansion efforts
0,143,XYZ INC,ORGANIZATION,Larger corporation that owns the company
0,143,MANHATTAN,GEO,Location of the company's headquarters
0,145,AMAZON,ORGANIZATION,Amazon is a company founded by Jeff Bezos
0,145,JEFF BEZOS,PERSON,Jeff Bezos is the founder of Amazon
0,145,SEATTLE,GEO,Seattle is a city where Amazon was founded
0,145,WASHINGTON,GEO,Washington is a state where Amazon was founded
0,146,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement is an organization that rewards individual knowledge activities
0,147,REWARDING SYSTEM,ORGANIZATION,The rewarding system is a system that rewards efforts to create and share knowledge
0,150,ORGANIZATION,ORGANIZATION,The organization is the entity where knowledge sharing and availability of needed knowledge is perceived
0,152,"UNIVERSITY OF CALIFORNIA, BERKELEY",ORGANIZATION,"A public research university located in Berkeley, California, founded in 1868, known for academic excellence and innovative research"
0,152,BERKELEY,GEO,"A city in California where the University of California, Berkeley is located"
0,152,CALIFORNIA,GEO,"A state in the United States where the University of California, Berkeley is located"
0,152,COLLEGE OF ENGINEERING,ORGANIZATION,"One of the colleges in the University of California, Berkeley"
0,152,COLLEGE OF NATURAL RESOURCES,ORGANIZATION,"One of the colleges in the University of California, Berkeley"
0,152,GRADUATE SCHOOL OF JOURNALISM,ORGANIZATION,"One of the schools in the University of California, Berkeley"
0,152,ROBERT REICH,PERSON,"A professor of public policy at the University of California, Berkeley"
0,153,CORPORATE UNIVERSITY,ORGANIZATION,A university that provides training and education to employees of a corporation
0,154,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement is a company that introduced a corporate university as a knowledge management tool
0,155,RESPONDENTS,PERSON,The respondents were asked to assess the importance of various factors
0,156,CORPORATE UNIVERSITY,ORGANIZATION,An organization that is being measured for significance
0,157,GROUP,ORGANIZATION,The organization that created the benchmark report
0,158,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement introduced a knowledge management tool called group benchmark report
0,161,GROUP,ORGANIZATION,Group is an organization that releases benchmark reports
0,162,COMMUNITIES OF PRACTICE,ORGANIZATION,Communities of practice is an organization that focuses on knowledge sharing and learning
0,163,HEIDELBERGCEMENT,ORGANIZATION,HeidelbergCement introduced a knowledge management tool called communities of practice
0,164,RESPONDENTS,PERSON,The respondents were asked to assess the importance of various factors
0,166,XYZ INC.,ORGANIZATION,Leading provider of software solutions
0,166,SAN FRANCISCO,GEO,City where XYZ Inc.'s headquarters is located
